Ativo,Unidade,Depto,Função,Data Início,Data Saída,Obs,IC
true,Juriscons - Sede,Colegiado Administrativo \ Relações Institucionais,Membro,11/06/2025,,,JURISCONS,
true,Foz do Iguaçu,Colegiado Executivo \ Administrativo-financeiro,TI e tradução,21/09/2024,,,ISIC,

